City,Country,ASN Name,SHODAN / SCAN Scan Date,Model/Version,Source of Data,Classification,Product
Mumbai,India,RELIANCE-COMMUNICATIONS-IN Reliance Communications Ltd.DAKC MUMBAI,27.12.2012,Blue Coat PacketShaper 8.4.3,SHODAN / SCAN,ISP,PacketShaper
Seoul,South Korea,KIXS-AS-KR Korea Telecom,27.12.2012,Blue Coat PacketShaper 8.5.5,SHODAN / SCAN,ISP,PacketShaper
Zhuhai,China,"CHINANET-BACKBONE No.31,Jin-rong Street",29.12.2012,Blue Coat PacketShaper 8.5.4,SHODAN / SCAN,ISP,PacketShaper
Moscow,Russia,SOVAM-AS OJSC _Vimpelcom_,30.12.2012,Blue Coat PacketShaper 9.1.1,SHODAN / SCAN,ISP,PacketShaper
Kuwait,Kuwait,FAST-TELCO Fast Telecommunications Company W.L.L.,30.12.2012,Blue Coat PacketShaper 8.7.3,SHODAN / SCAN,ISP,PacketShaper
Madras,India,TATACOMM-AS TATA Communications formerly VSNL is Leading ISP,31.12.2012,Blue Coat PacketShaper 8.7.2,SHODAN / SCAN,ISP,PacketShaper
Kabul,Afghanistan,GCN-DCN-AS AFGHANTELECOM GOVERNMENT COMMUNICATION NETWORK,31.12.2012,Blue Coat PacketShaper 8.5.4,SHODAN / SCAN,Government,PacketShaper
Mumbai,India,TATACOMM-AS TATA Communications formerly VSNL is Leading ISP,02.01.2013,Blue Coat PacketShaper 9.1.3,SHODAN / SCAN,ISP,PacketShaper
Nairobi,Kenya,AFOL-KE-AS,02.01.2013,Blue Coat PacketShaper 8.6.5,SHODAN / SCAN,ISP,PacketShaper
Manama,Bahrain,BIX-AS Bahrain Internet Exchange,31.12.2012,Blue Coat PacketShaper 8.4.4,SHODAN,Information Exchange,PacketShaper
Riyadh,Saudi Arabia,ISU-RUH King Abdul Aziz City for Science and Technology,31.12.2012,Blue Coat PacketShaper 8.4.3,SHODAN / SCAN,Education,PacketShaper
Gaziantep,Turkey,TTNET Turk Telekomunikasyon Anonim Sirketi,11.01.2013,Packeteer PacketShaper 7500,Google,ISP,PacketShaper
Riyadh,Saudi Arabia,NOURNET-ASN Nour Communication Co.Ltd - Nournet,11.01.2013,Packeteer PacketShaper 7500,Google,ISP,PacketShaper
Beirut,Lebanon,COBRANET-AS Cobranet Limited,11.01.2013,BlueCoat PacketShaper 12000,Google,ISP,PacketShaper
Beirut,Lebanon,VISP-LB-AS Virtual ISP S.A.L.,11.01.2013,BlueCoat PacketShaper 10000,Google,ISP,PacketShaper
Singapore,Singapore,VIEWQWEST-SG-AP Viewqwest Pte Ltd,11.01.2013,Packeteer PacketShaper 6500,Google,ISP,PacketShaper
Cyberjaya,Malaysia,ARCNET-NTTMSC-MY Arcnet NTT MSC ISP,11.01.2013,Packeteer PacketShaper 6500,Google,ISP,PacketShaper
Chengdu,China,"CHINANET-BACKBONE No.31,Jin-rong Street",11.01.2013,Packeteer PacketShaper 4500,Google,ISP,PacketShaper
Jakarta,Indonesia,LINTASARTA-AS-AP Network Access Provider and Internet Service Provider,11.01.2013,BlueCoat PacketShaper 10000,Google,ISP,PacketShaper
